127.0.0.1 - - [25/Nov/2023:16:32:09 -0500] "GET / HTTP/1.1" 200 11428
0:0:0:0:0:0:0:1 - - [25/Nov/2023:16:32:17 -0500] "GET /inlinemanage HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Nov/2023:16:32:20 -0500] "GET /inlinemanage/ HTTP/1.1" 200 3325
0:0:0:0:0:0:0:1 - - [25/Nov/2023:16:32:20 -0500] "GET /inlinemanage/assets/css/index1.css HTTP/1.1" 200 4144
0:0:0:0:0:0:0:1 - - [25/Nov/2023:16:32:20 -0500] "GET /inlinemanage/assets/css/main.css HTTP/1.1" 200 1152
0:0:0:0:0:0:0:1 - - [25/Nov/2023:16:32:20 -0500] "GET /inlinemanage/assets/css/indexModule1.css HTTP/1.1" 200 1284
0:0:0:0:0:0:0:1 - - [25/Nov/2023:16:32:20 -0500] "GET /inlinemanage/assets/css/StylesBarCode.css HTTP/1.1" 200 982
0:0:0:0:0:0:0:1 - - [25/Nov/2023:16:32:20 -0500] "GET /inlinemanage/assets/js/index1.js HTTP/1.1" 200 2770
0:0:0:0:0:0:0:1 - - [25/Nov/2023:16:32:20 -0500] "GET /inlinemanage/assets/img/LogoInterline.PNG HTTP/1.1" 200 27353
0:0:0:0:0:0:0:1 - - [25/Nov/2023:16:32:35 -0500] "POST /inlinemanage/ControllerInline HTTP/1.1" 200 3862
0:0:0:0:0:0:0:1 - - [25/Nov/2023:16:32:38 -0500] "GET /inlinemanage/User?enviar=user HTTP/1.1" 200 4397
0:0:0:0:0:0:0:1 - - [25/Nov/2023:16:32:38 -0500] "GET /inlinemanage/assets/img/back.PNG HTTP/1.1" 200 1371
0:0:0:0:0:0:0:1 - - [25/Nov/2023:16:32:38 -0500] "GET /inlinemanage/assets/js/searchUser.js HTTP/1.1" 200 978
0:0:0:0:0:0:0:1 - - [25/Nov/2023:16:36:27 -0500] "GET /inlinemanage/User?enviar=user HTTP/1.1" 200 4397
0:0:0:0:0:0:0:1 - - [25/Nov/2023:16:36:28 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [25/Nov/2023:16:36:29 -0500] "GET /inlinemanage/User?enviar=user HTTP/1.1" 200 4397
0:0:0:0:0:0:0:1 - - [25/Nov/2023:16:36:30 -0500] "GET /inlinemanage/User?enviar=user HTTP/1.1" 200 4397
0:0:0:0:0:0:0:1 - - [25/Nov/2023:16:41:15 -0500] "GET /inlinemanage/ControllerInline?enviar=main HTTP/1.1" 200 3773
0:0:0:0:0:0:0:1 - - [25/Nov/2023:17:35:21 -0500] "GET /inlinemanage/ControllerInline?enviar=main HTTP/1.1" 500 3797
0:0:0:0:0:0:0:1 - - [25/Nov/2023:17:36:26 -0500] "GET /inlinemanage/ControllerInline?enviar=main HTTP/1.1" 500 2506
0:0:0:0:0:0:0:1 - - [25/Nov/2023:17:38:58 -0500] "GET /inlinemanage/ControllerInline?enviar=main HTTP/1.1" 200 3489
0:0:0:0:0:0:0:1 - - [25/Nov/2023:17:42:41 -0500] "GET /inlinemanage/ControllerInline?enviar=main HTTP/1.1" 500 7302
0:0:0:0:0:0:0:1 - - [25/Nov/2023:17:43:22 -0500] "GET /inlinemanage/ControllerInline?enviar=main HTTP/1.1" 200 3499
0:0:0:0:0:0:0:1 - - [25/Nov/2023:17:59:09 -0500] "GET /inlinemanage/User?enviar=user HTTP/1.1" 200 3764
0:0:0:0:0:0:0:1 - - [25/Nov/2023:17:59:13 -0500] "GET /inlinemanage/ControllerInline?enviar=main HTTP/1.1" 200 3499
0:0:0:0:0:0:0:1 - - [25/Nov/2023:17:59:15 -0500] "GET /inlinemanage/Supplier?enviar=supplier HTTP/1.1" 200 5872
0:0:0:0:0:0:0:1 - - [25/Nov/2023:17:59:17 -0500] "GET /inlinemanage/Supplier?enviar=registerSupplier HTTP/1.1" 200 3128
0:0:0:0:0:0:0:1 - - [25/Nov/2023:17:59:17 -0500] "GET /inlinemanage/assets/js/JsProv/validerSupplier.js HTTP/1.1" 200 2689
0:0:0:0:0:0:0:1 - - [25/Nov/2023:17:59:25 -0500] "POST /inlinemanage/Supplier HTTP/1.1" 200 6419
0:0:0:0:0:0:0:1 - - [25/Nov/2023:17:59:26 -0500] "GET /inlinemanage/ControllerInline?enviar=main HTTP/1.1" 200 3499
0:0:0:0:0:0:0:1 - - [25/Nov/2023:18:00:30 -0500] "GET /inlinemanage/ControllerInline?enviar=main HTTP/1.1" 200 3020
0:0:0:0:0:0:0:1 - - [25/Nov/2023:18:00:50 -0500] "GET /inlinemanage/Supplier?enviar=supplier HTTP/1.1" 200 5872
0:0:0:0:0:0:0:1 - - [25/Nov/2023:18:00:51 -0500] "GET /inlinemanage/Supplier?enviar=registerSupplier HTTP/1.1" 200 3128
0:0:0:0:0:0:0:1 - - [25/Nov/2023:18:00:56 -0500] "POST /inlinemanage/Supplier HTTP/1.1" 200 5872
0:0:0:0:0:0:0:1 - - [25/Nov/2023:18:00:57 -0500] "GET /inlinemanage/ControllerInline?enviar=main HTTP/1.1" 200 3020
0:0:0:0:0:0:0:1 - - [25/Nov/2023:18:02:20 -0500] "GET /inlinemanage/ControllerInline?enviar=main HTTP/1.1" 200 3020
0:0:0:0:0:0:0:1 - - [25/Nov/2023:18:04:58 -0500] "GET /inlinemanage/ControllerInline?enviar=main HTTP/1.1" 200 3020
0:0:0:0:0:0:0:1 - - [25/Nov/2023:18:04:59 -0500] "GET /inlinemanage/User?enviar=user HTTP/1.1" 200 3764
0:0:0:0:0:0:0:1 - - [25/Nov/2023:18:05:00 -0500] "GET /inlinemanage/ControllerInline?enviar=main HTTP/1.1" 200 3020
0:0:0:0:0:0:0:1 - - [25/Nov/2023:18:05:01 -0500] "GET /inlinemanage/Supplier?enviar=supplier HTTP/1.1" 200 5872
0:0:0:0:0:0:0:1 - - [25/Nov/2023:18:05:03 -0500] "GET /inlinemanage/Supplier?enviar=registerSupplier HTTP/1.1" 200 3128
0:0:0:0:0:0:0:1 - - [25/Nov/2023:18:05:05 -0500] "POST /inlinemanage/Supplier HTTP/1.1" 200 6414
0:0:0:0:0:0:0:1 - - [25/Nov/2023:18:05:07 -0500] "GET /inlinemanage/ControllerInline?enviar=main HTTP/1.1" 200 3528
0:0:0:0:0:0:0:1 - - [25/Nov/2023:18:06:09 -0500] "GET /inlinemanage/ControllerInline?enviar=main HTTP/1.1" 200 3528
0:0:0:0:0:0:0:1 - - [25/Nov/2023:18:08:23 -0500] "GET /inlinemanage/ControllerInline?enviar=main HTTP/1.1" 200 3492
0:0:0:0:0:0:0:1 - - [25/Nov/2023:18:12:03 -0500] "GET /inlinemanage/Product?enviar=product HTTP/1.1" 200 8766
0:0:0:0:0:0:0:1 - - [25/Nov/2023:18:12:03 -0500] "GET /inlinemanage/assets/js/JsProd/searchProd.js HTTP/1.1" 200 1286
0:0:0:0:0:0:0:1 - - [25/Nov/2023:18:12:06 -0500] "GET /inlinemanage/category?enviar=categoria HTTP/1.1" 200 6377
0:0:0:0:0:0:0:1 - - [25/Nov/2023:18:12:06 -0500] "GET /inlinemanage/assets/js/JsCate/searchCate.js HTTP/1.1" 200 1288
0:0:0:0:0:0:0:1 - - [25/Nov/2023:18:12:07 -0500] "GET /inlinemanage/category?enviar=registerCategory HTTP/1.1" 200 2484
0:0:0:0:0:0:0:1 - - [25/Nov/2023:18:12:07 -0500] "GET /inlinemanage/assets/js/JsCate/registerCate.js HTTP/1.1" 200 1169
0:0:0:0:0:0:0:1 - - [25/Nov/2023:18:12:10 -0500] "POST /inlinemanage/category HTTP/1.1" 200 7000
0:0:0:0:0:0:0:1 - - [25/Nov/2023:18:12:14 -0500] "GET /inlinemanage/Product?enviar=product HTTP/1.1" 200 8766
0:0:0:0:0:0:0:1 - - [25/Nov/2023:18:12:16 -0500] "GET /inlinemanage/ControllerInline?enviar=main HTTP/1.1" 200 3659
0:0:0:0:0:0:0:1 - - [25/Nov/2023:18:35:06 -0500] "GET /inlinemanage/ControllerInline?enviar=main HTTP/1.1" 500 3266
0:0:0:0:0:0:0:1 - - [25/Nov/2023:18:37:15 -0500] "GET /inlinemanage/ControllerInline?enviar=main HTTP/1.1" 500 2763
0:0:0:0:0:0:0:1 - - [25/Nov/2023:18:37:54 -0500] "GET /inlinemanage/ControllerInline?enviar=main HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [25/Nov/2023:18:37:56 -0500] "GET /inlinemanage/ControllerInline?enviar=main HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [25/Nov/2023:18:37:58 -0500] "GET /inlinemanage/Product?enviar=product HTTP/1.1" 404 711
0:0:0:0:0:0:0:1 - - [25/Nov/2023:18:39:20 -0500] "GET /inlinemanage/Product?enviar=product HTTP/1.1" 200 8766
0:0:0:0:0:0:0:1 - - [25/Nov/2023:18:39:20 -0500] "GET /inlinemanage/assets/js/JsProd/searchProd.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2023:18:39:23 -0500] "GET /inlinemanage/ControllerInline?enviar=main HTTP/1.1" 500 2721
0:0:0:0:0:0:0:1 - - [25/Nov/2023:18:58:56 -0500] "GET /inlinemanage/ControllerInline?enviar=main HTTP/1.1" 500 2711
0:0:0:0:0:0:0:1 - - [25/Nov/2023:19:00:34 -0500] "GET /inlinemanage/ControllerInline?enviar=main HTTP/1.1" 500 3562
0:0:0:0:0:0:0:1 - - [25/Nov/2023:19:01:52 -0500] "GET /inlinemanage/ControllerInline?enviar=main HTTP/1.1" 500 3562
0:0:0:0:0:0:0:1 - - [25/Nov/2023:19:01:53 -0500] "GET /inlinemanage/ControllerInline?enviar=main HTTP/1.1" 500 3618
0:0:0:0:0:0:0:1 - - [25/Nov/2023:19:01:54 -0500] "GET /inlinemanage/ControllerInline?enviar=main HTTP/1.1" 500 3618
0:0:0:0:0:0:0:1 - - [25/Nov/2023:19:01:55 -0500] "GET /inlinemanage/ControllerInline?enviar=main HTTP/1.1" 500 3618
0:0:0:0:0:0:0:1 - - [25/Nov/2023:19:01:56 -0500] "GET /inlinemanage/ControllerInline?enviar=main HTTP/1.1" 500 3562
