127.0.0.1 - - [26/Nov/2023:09:54:40 -0500] "GET / HTTP/1.1" 200 11428
0:0:0:0:0:0:0:1 - - [26/Nov/2023:09:54:46 -0500] "GET /inlinemanage HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Nov/2023:09:54:48 -0500] "GET /inlinemanage/ HTTP/1.1" 200 3338
0:0:0:0:0:0:0:1 - - [26/Nov/2023:09:54:48 -0500] "GET /inlinemanage/assets/css/modalReports.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2023:09:54:48 -0500] "GET /inlinemanage/assets/css/index2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2023:09:54:48 -0500] "GET /inlinemanage/assets/css/StylesBarCode1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2023:09:54:48 -0500] "GET /inlinemanage/assets/css/indexModule1.css HTTP/1.1" 200 1331
0:0:0:0:0:0:0:1 - - [26/Nov/2023:09:54:48 -0500] "GET /inlinemanage/assets/js/index1.js HTTP/1.1" 200 2770
0:0:0:0:0:0:0:1 - - [26/Nov/2023:09:54:48 -0500] "GET /inlinemanage/assets/css/main1.css HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [26/Nov/2023:09:54:48 -0500] "GET /inlinemanage/assets/img/LogoInterline.PNG HTTP/1.1" 200 27353
0:0:0:0:0:0:0:1 - - [26/Nov/2023:09:56:53 -0500] "POST /inlinemanage/ControllerInline HTTP/1.1" 200 7003
0:0:0:0:0:0:0:1 - - [26/Nov/2023:10:07:02 -0500] "GET /inlinemanage/Vent?enviar=vent HTTP/1.1" 200 3833
0:0:0:0:0:0:0:1 - - [26/Nov/2023:10:07:02 -0500] "GET /inlinemanage/assets/img/back.PNG HTTP/1.1" 200 1371
0:0:0:0:0:0:0:1 - - [26/Nov/2023:10:07:06 -0500] "GET /inlinemanage/Reports?enviar=DeVent HTTP/1.1" 200 1139
0:0:0:0:0:0:0:1 - - [26/Nov/2023:10:20:43 -0500] "GET /inlinemanage/Vent?enviar=vent HTTP/1.1" 500 4447
0:0:0:0:0:0:0:1 - - [26/Nov/2023:10:20:43 -0500] "GET /favicon.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2023:10:22:25 -0500] "GET /inlinemanage/Vent?enviar=vent HTTP/1.1" 500 4440
0:0:0:0:0:0:0:1 - - [26/Nov/2023:10:22:27 -0500] "GET /inlinemanage/Vent?enviar=vent HTTP/1.1" 500 3639
0:0:0:0:0:0:0:1 - - [26/Nov/2023:10:22:28 -0500] "GET /inlinemanage/Vent?enviar=vent HTTP/1.1" 500 3639
0:0:0:0:0:0:0:1 - - [26/Nov/2023:10:22:33 -0500] "POST /inlinemanage/ControllerInline HTTP/1.1" 200 7003
0:0:0:0:0:0:0:1 - - [26/Nov/2023:10:22:35 -0500] "GET /inlinemanage/Product?enviar=product HTTP/1.1" 200 15921
0:0:0:0:0:0:0:1 - - [26/Nov/2023:10:22:35 -0500] "GET /inlinemanage/assets/js/JsProd/searchProd1.js HTTP/1.1" 304 -
